sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
Blank8_16S	946	544	57.51	401	380	40.17
Blank8_GyrB	56	6	10.71	2	2	3.57
Blank9_16S	950	408	42.95	356	339	35.68
Blank9_GyrB	367	161	43.87	140	140	38.15
NTC_2_16S	1853	1124	60.66	881	881	47.54
NTC_3_16S	5622	3945	70.17	3617	3544	63.04
NTC_3_GyrB	55	35	63.64	20	20	36.36
NTC_4_16S	4468	2937	65.73	2525	2507	56.11
NTC_4_GyrB	266	169	63.53	161	161	60.53
NTC_5_16S	6	2	33.33	1	1	16.67
NTC_5_GyrB	19	10	52.63	5	5	26.32
NTC_6_16S	5072	3434	67.71	2913	2876	56.7
NTC_6_GyrB	39	27	69.23	20	20	51.28
NTC1_16S	6503	4722	72.61	3886	3771	57.99
NTC1_GyrB	3811	3210	84.23	3178	3178	83.39
unmatched	88421	21264	24.05	18297	17356	19.63
